,date,open,close,high,low,code
1079,2014-08-19,9.929,9.864,9.938,9.78,000776
1080,2014-08-20,9.855,9.855,9.91,9.808,000776
1081,2014-08-21,9.873,9.697,9.882,9.622,000776
1082,2014-08-22,9.697,9.762,9.771,9.65,000776
1083,2014-08-25,9.79,9.576,9.79,9.567,000776
1084,2014-08-26,9.567,9.464,9.622,9.427,000776
1085,2014-08-27,9.464,9.474,9.539,9.455,000776
1086,2014-08-28,9.474,9.409,9.548,9.372,000776
1087,2014-08-29,9.437,9.502,9.511,9.372,000776
1088,2014-09-01,9.492,9.585,9.585,9.474,000776
1089,2014-09-02,9.585,9.743,9.762,9.539,000776
1090,2014-09-03,9.752,9.771,9.827,9.734,000776
1091,2014-09-04,9.817,9.901,9.92,9.762,000776
1092,2014-09-05,9.994,10.022,10.161,9.938,000776
1093,2014-09-09,10.068,9.994,10.105,9.966,000776
1094,2014-09-10,9.938,9.855,9.947,9.836,000776
1095,2014-09-11,9.855,9.882,10.087,9.836,000776
1096,2014-09-12,9.836,9.92,9.947,9.799,000776
1097,2014-09-15,9.892,9.873,9.91,9.79,000776
1098,2014-09-16,9.873,9.604,9.91,9.585,000776
1099,2014-09-17,9.678,9.669,9.724,9.576,000776
1100,2014-09-18,9.65,9.706,9.836,9.594,000776
1101,2014-09-19,9.706,9.771,9.808,9.669,000776
1102,2014-09-22,9.752,9.632,9.808,9.585,000776
1103,2014-09-23,9.622,9.78,9.799,9.622,000776
1104,2014-09-24,9.734,10.17,10.272,9.734,000776
1105,2014-09-25,10.226,10.068,10.282,10.003,000776
1106,2014-09-26,10.04,10.077,10.124,9.985,000776
1107,2014-09-29,10.17,10.161,10.263,10.124,000776
1108,2014-09-30,10.18,10.17,10.217,10.124,000776
1109,2014-10-08,10.217,10.226,10.263,10.105,000776
1110,2014-10-09,10.226,10.152,10.282,10.068,000776
1111,2014-10-10,10.077,10.105,10.245,10.05,000776
1112,2014-10-13,10.05,9.985,10.077,9.91,000776
1113,2014-10-14,9.957,10.003,10.161,9.947,000776
1114,2014-10-15,10.068,10.421,10.551,10.031,000776
1115,2014-10-16,10.328,10.375,10.625,10.3,000776
1116,2014-10-17,10.43,10.588,10.644,10.245,000776
1117,2014-10-20,10.625,10.57,10.718,10.514,000776
1118,2014-10-21,10.57,10.495,10.765,10.486,000776
1119,2014-10-22,10.533,10.31,10.56,10.291,000776
1120,2014-10-23,10.263,10.282,10.412,10.235,000776
1121,2014-10-24,10.31,10.235,10.375,10.198,000776
1122,2014-10-27,10.077,9.882,10.087,9.864,000776
1123,2014-10-28,9.929,10.189,10.198,9.92,000776
1124,2014-10-29,10.217,10.412,10.616,10.161,000776
1125,2014-10-30,10.421,10.449,10.56,10.328,000776
1126,2014-10-31,10.533,10.793,10.923,10.449,000776
1127,2014-11-03,10.932,10.876,11.229,10.82,000776
1128,2014-11-04,10.82,10.858,11.071,10.765,000776
1129,2014-11-05,10.923,11.099,11.387,10.811,000776
1130,2014-11-06,11.108,11.164,11.303,10.923,000776
1131,2014-11-07,11.229,11.582,12.149,11.22,000776
1132,2014-11-10,12.046,12.121,12.167,11.675,000776
1133,2014-11-11,12.195,12.037,12.678,11.721,000776
1134,2014-11-12,11.889,12.52,12.548,11.796,000776
1135,2014-11-13,12.548,12.409,12.873,12.297,000776
1136,2014-11-14,12.288,12.511,12.669,12.074,000776
1137,2014-11-24,13.765,13.765,13.765,13.765,000776
1138,2014-11-25,14.387,14.573,15.009,14.211,000776
1139,2014-11-26,14.731,15.502,15.669,14.619,000776
1140,2014-11-27,15.632,17.043,17.043,15.251,000776
1141,2014-11-28,16.718,16.635,17.229,16.347,000776
1142,2014-12-01,16.969,17.034,17.74,16.328,000776
1143,2014-12-02,16.718,18.353,18.622,16.588,000776
1144,2014-12-03,18.659,18.492,19.774,17.721,000776
1145,2014-12-04,18.437,20.341,20.341,18.13,000776
1146,2014-12-05,21.316,22.375,22.375,20.545,000776
1147,2014-12-08,21.929,24.613,24.613,21.084,000776
1148,2014-12-09,24.613,23.192,27.074,22.152,000776
1149,2014-12-10,23.545,23.424,24.344,20.991,000776
1150,2014-12-11,22.486,21.827,23.777,21.659,000776
1151,2014-12-12,21.362,22.207,23.489,21.362,000776
1152,2014-12-15,22.282,23.22,23.489,21.882,000776
1153,2014-12-16,23.266,25.542,25.542,23.099,000776
1154,2014-12-17,26.638,26.285,27.325,24.502,000776
1155,2014-12-18,25.328,24.0,25.737,23.666,000776
1156,2014-12-19,23.963,23.034,24.381,22.031,000776
1157,2014-12-22,22.644,22.765,23.721,21.529,000776
1158,2014-12-23,22.802,22.941,23.536,22.57,000776
1159,2014-12-24,23.415,21.39,23.666,21.028,000776
1160,2014-12-25,21.437,22.115,22.523,20.991,000776
1161,2014-12-26,22.105,24.325,24.325,22.012,000776
1162,2014-12-29,25.105,23.591,25.17,23.22,000776
1163,2014-12-30,23.601,23.907,24.632,22.663,000776
1164,2014-12-31,23.963,24.102,25.04,23.508,000776
1165,2015-01-05,24.307,24.204,24.613,23.406,000776
1166,2015-01-06,23.87,24.994,25.895,23.638,000776
1167,2015-01-07,25.003,25.542,26.647,24.845,000776
1168,2015-01-08,25.542,24.362,25.904,24.037,000776
1169,2015-01-09,24.288,24.056,25.505,23.87,000776
1170,2015-01-12,24.511,24.409,25.077,23.87,000776
1171,2015-01-13,24.195,23.396,24.427,23.238,000776
1172,2015-01-14,23.452,23.601,24.065,23.127,000776
1173,2015-01-15,23.582,24.399,24.511,22.988,000776
1174,2015-01-16,24.427,24.093,24.585,23.851,000776
1175,2015-01-19,21.687,21.687,21.687,21.687,000776
1176,2015-01-20,19.876,20.071,20.851,19.607,000776
1177,2015-01-21,20.452,21.511,21.873,20.35,000776
1178,2015-01-22,21.511,21.92,22.291,21.362,000776
1179,2015-01-23,22.17,22.263,23.192,22.04,000776
1180,2015-01-26,22.198,21.827,22.272,21.464,000776
1181,2015-01-27,21.715,21.502,21.994,21.028,000776
1182,2015-01-28,21.362,21.362,22.059,21.158,000776
1183,2015-01-29,20.786,20.721,21.046,20.443,000776
1184,2015-01-30,20.954,20.341,21.056,20.341,000776
1185,2015-02-02,19.7,19.737,20.257,19.347,000776
1186,2015-02-03,20.108,20.712,20.824,19.83,000776
1187,2015-02-04,20.786,20.563,21.511,20.536,000776
1188,2015-02-05,21.539,20.731,21.594,20.712,000776
1189,2015-02-06,20.433,20.628,21.13,20.081,000776
1190,2015-02-09,20.443,21.325,21.697,20.433,000776
