---------------------------------main enter---------------------------
day 2011-02-22  close: 19.54  ma250: 17.90
day 2011-02-23  close: 19.50  ma250: 17.97
day 2011-02-24  close: 20.21  ma250: 18.04
day 2011-02-25  close: 19.70  ma250: 18.11
day 2011-02-28  close: 19.39  ma250: 18.18
day 2011-03-01  close: 19.15  ma250: 18.24
day 2011-03-02  close: 18.80  ma250: 18.30
day 2011-03-03  close: 19.02  ma250: 18.36
day 2011-03-04  close: 19.22  ma250: 18.43
day 2011-03-07  close: 20.17  ma250: 18.49
day 2011-03-08  close: 19.89  ma250: 18.55
day 2011-03-09  close: 19.88  ma250: 18.61
day 2011-03-10  close: 19.11  ma250: 18.67
day 2011-03-11  close: 18.98  ma250: 18.73
day 2011-03-14  close: 18.76  ma250: 18.72
day 2011-03-15  close: 18.05  ma250: 18.70
day 2011-03-16  close: 18.32  ma250: 18.69
day 2011-03-17  close: 17.67  ma250: 18.67
============买入1:buy_count: 1  sell_own: 0.0  盈余: -1767.0  持仓: 100  比率: 5.65930956423
day 2011-03-18  close: 18.29  ma250: 18.65
day 2011-03-21  close: 17.82  ma250: 18.63
day 2011-03-22  close: 17.91  ma250: 18.61
day 2011-03-23  close: 18.22  ma250: 18.60
day 2011-03-24  close: 17.90  ma250: 18.58
day 2011-03-25  close: 18.00  ma250: 18.57
day 2011-03-28  close: 18.03  ma250: 18.55
day 2011-03-29  close: 17.45  ma250: 18.54
============买入1:buy_count: 2  sell_own: 0.0  盈余: -3512.0  持仓: 200  比率: 6.24641833811
day 2011-03-30  close: 16.74  ma250: 18.52
============买入1:buy_count: 3  sell_own: 0.0  盈余: -5186.0  持仓: 300  比率: 10.633213859
day 2011-03-31  close: 16.77  ma250: 18.49
============买入1:buy_count: 4  sell_own: 0.0  盈余: -6863.0  持仓: 400  比率: 10.2564102564
day 2011-04-01  close: 16.85  ma250: 18.47
============买入1:buy_count: 5  sell_own: 0.0  盈余: -8548.0  持仓: 500  比率: 9.61424332344
day 2011-04-06  close: 17.61  ma250: 18.45
day 2011-04-07  close: 17.15  ma250: 18.42
============买入1:buy_count: 6  sell_own: 0.0  盈余: -10263.0  持仓: 600  比率: 7.40524781341
day 2011-04-08  close: 17.43  ma250: 18.39
============买入1:buy_count: 7  sell_own: 0.0  盈余: -12006.0  持仓: 700  比率: 5.50774526678
day 2011-04-11  close: 17.14  ma250: 18.36
============买入1:buy_count: 8  sell_own: 0.0  盈余: -13720.0  持仓: 800  比率: 7.1178529755
day 2011-04-12  close: 17.01  ma250: 18.34
============买入1:buy_count: 9  sell_own: 0.0  盈余: -15421.0  持仓: 900  比率: 7.81893004115
day 2011-04-13  close: 17.59  ma250: 18.31
day 2011-04-14  close: 17.29  ma250: 18.29
============买入1:buy_count: 10  sell_own: 0.0  盈余: -17150.0  持仓: 1000  比率: 5.78368999422
day 2011-04-15  close: 17.34  ma250: 18.27
============买入1:buy_count: 11  sell_own: 0.0  盈余: -18884.0  持仓: 1100  比率: 5.36332179931
day 2011-04-18  close: 17.04  ma250: 18.24
============买入1:buy_count: 12  sell_own: 0.0  盈余: -20588.0  持仓: 1200  比率: 7.04225352113
day 2011-04-19  close: 16.50  ma250: 18.21
============买入1:buy_count: 13  sell_own: 0.0  盈余: -22238.0  持仓: 1300  比率: 10.3636363636
day 2011-04-20  close: 16.53  ma250: 18.18
============买入1:buy_count: 14  sell_own: 0.0  盈余: -23891.0  持仓: 1400  比率: 9.98185117967
day 2011-04-21  close: 16.85  ma250: 18.16
